Wearable-2,Ax,Ay,Az,Gx,Gy,Gz,Sensor time
192.168.43.159,-0.022460938,0.985839844,-0.023925781,1.281738281,0.793457031,-0.183105469,1.87E+08
192.168.43.159,-0.024902344,0.983398438,-0.024414063,1.098632813,1.098632813,-0.366210938,1.87E+08
192.168.43.159,-0.02734375,0.981933594,-0.023925781,0.9765625,0.915527344,-0.48828125,1.87E+08
192.168.43.159,-0.026855469,0.984863281,-0.026367188,0.9765625,0.793457031,-0.427246094,1.87E+08
192.168.43.159,-0.0234375,0.986328125,-0.025390625,1.098632813,0.9765625,-0.305175781,1.87E+08
192.168.43.159,-0.020507813,0.982421875,-0.025390625,1.342773438,0.427246094,-0.305175781,1.87E+08
192.168.43.159,-0.021972656,0.983398438,-0.024902344,1.586914063,0.366210938,-0.48828125,1.87E+08
192.168.43.159,-0.022949219,0.982910156,-0.023925781,1.586914063,0.549316406,-0.915527344,1.87E+08
192.168.43.159,-0.024902344,0.984375,-0.026367188,1.098632813,0.793457031,-1.159667969,1.87E+08
192.168.43.159,-0.025390625,0.980957031,-0.024902344,1.46484375,1.159667969,-1.342773438,1.87E+08
192.168.43.159,-0.027832031,0.985351563,-0.028320313,2.014160156,1.647949219,-1.220703125,1.87E+08
192.168.43.159,-0.026855469,0.985839844,-0.03125,2.319335938,1.159667969,-1.281738281,1.87E+08
192.168.43.159,-0.025878906,0.986328125,-0.029296875,2.624511719,0.915527344,-1.220703125,1.87E+08
192.168.43.159,-0.028808594,0.983398438,-0.029785156,2.624511719,0.915527344,-1.342773438,1.87E+08
192.168.43.159,-0.023925781,0.98046875,-0.025878906,2.685546875,0.671386719,-1.586914063,1.87E+08
192.168.43.159,-0.020996094,0.984375,-0.021972656,2.990722656,0.366210938,-1.770019531,1.87E+08
192.168.43.159,-0.026367188,0.979980469,-0.023925781,3.112792969,0.061035156,-2.014160156,1.87E+08
192.168.43.159,-0.026855469,0.982421875,-0.02734375,4.089355469,0.549316406,-2.014160156,1.87E+08
192.168.43.159,-0.025390625,0.982421875,-0.03125,4.699707031,1.281738281,-1.953125,1.87E+08
192.168.43.159,-0.029785156,0.982421875,-0.036621094,5.126953125,1.46484375,-2.380371094,1.87E+08
192.168.43.159,-0.028320313,0.982421875,-0.044921875,5.065917969,0.9765625,-2.380371094,1.87E+08
192.168.43.159,-0.01953125,0.994140625,-0.047851563,4.8828125,1.525878906,-2.502441406,1.87E+08
192.168.43.159,-0.021972656,0.992675781,-0.037597656,2.746582031,2.502441406,-2.990722656,1.87E+08
192.168.43.159,-0.038574219,0.968261719,-0.027832031,2.502441406,3.540039063,-3.967285156,1.87E+08
192.168.43.159,-0.04296875,0.983398438,-0.041503906,5.554199219,2.624511719,-4.089355469,1.87E+08
192.168.43.159,-0.031738281,0.982421875,-0.044921875,5.432128906,0,-3.356933594,1.87E+08
192.168.43.159,-0.021484375,0.984375,-0.049804688,5.859375,-0.366210938,-3.41796875,1.87E+08
192.168.43.159,-0.021972656,0.984375,-0.045410156,6.469726563,-0.061035156,-3.90625,1.87E+08
192.168.43.159,-0.056640625,0.98828125,-0.057617188,6.408691406,0.671386719,-4.089355469,1.87E+08
192.168.43.159,-0.063476563,0.981933594,-0.073242188,4.821777344,-2.075195313,-3.662109375,1.87E+08
192.168.43.159,-0.030273438,0.983398438,-0.059570313,3.051757813,-2.380371094,-2.685546875,1.87E+08
192.168.43.159,-0.03125,0.983398438,-0.0546875,3.845214844,1.831054688,-3.112792969,1.87E+08
192.168.43.159,-0.052246094,0.978515625,-0.062011719,3.967285156,4.028320313,-3.41796875,1.87E+08
192.168.43.159,-0.051757813,0.985351563,-0.070800781,3.662109375,4.516601563,-3.356933594,1.87E+08
192.168.43.159,-0.041503906,0.983886719,-0.0625,3.234863281,4.150390625,-3.112792969,1.87E+08
192.168.43.159,-0.037109375,0.983398438,-0.064941406,2.807617188,4.333496094,-2.990722656,1.87E+08
192.168.43.159,-0.043457031,0.979003906,-0.057617188,2.44140625,5.126953125,-3.41796875,1.87E+08
192.168.43.159,-0.062011719,0.982910156,-0.067382813,2.9296875,4.638671875,-3.173828125,1.87E+08
192.168.43.159,-0.060546875,0.989257813,-0.075195313,2.380371094,3.479003906,-2.807617188,1.87E+08
192.168.43.159,-0.062011719,0.989746094,-0.064453125,0.366210938,0.610351563,-2.197265625,1.87E+08
192.168.43.159,-0.029296875,0.980957031,-0.063964844,1.220703125,-1.159667969,-2.014160156,1.87E+08
192.168.43.159,-0.057617188,0.991699219,-0.087402344,2.014160156,1.098632813,-2.075195313,1.87E+08
192.168.43.159,-0.055175781,0.982910156,-0.064453125,0.793457031,-0.854492188,-1.586914063,1.87E+08
192.168.43.159,-0.070800781,0.978027344,-0.071777344,0.610351563,-0.122070313,-1.525878906,1.87E+08
192.168.43.159,-0.062988281,0.983398438,-0.08203125,0.244140625,-0.366210938,-1.220703125,1.87E+08
192.168.43.159,-0.052246094,0.987792969,-0.099121094,-0.9765625,-1.220703125,-0.793457031,1.87E+08
192.168.43.159,-0.051269531,0.989257813,-0.080078125,-2.990722656,-0.732421875,-0.549316406,1.87E+08
192.168.43.159,-0.06640625,0.986328125,-0.065429688,-3.845214844,-0.48828125,-0.122070313,1.88E+08
192.168.43.159,-0.065429688,0.980957031,-0.080078125,-4.8828125,-2.075195313,0.244140625,1.88E+08
192.168.43.159,-0.043945313,0.982910156,-0.076660156,-6.164550781,-2.807617188,0.366210938,1.88E+08
192.168.43.159,-0.053222656,0.985839844,-0.066894531,-7.019042969,-0.183105469,0.305175781,1.88E+08
192.168.43.159,-0.061035156,0.989257813,-0.078125,-7.995605469,1.831054688,0.671386719,1.88E+08
192.168.43.159,-0.047851563,0.993652344,-0.070800781,-9.826660156,0.305175781,1.220703125,1.88E+08
192.168.43.159,-0.049316406,0.985351563,-0.059570313,-12.32910156,0.183105469,1.647949219,1.88E+08
192.168.43.159,-0.0546875,0.983398438,-0.040039063,-13.30566406,1.403808594,2.197265625,1.88E+08
192.168.43.159,-0.063964844,0.987792969,-0.034179688,-13.54980469,1.892089844,2.319335938,1.88E+08
192.168.43.159,-0.060546875,0.987304688,-0.041503906,-14.28222656,0.610351563,2.258300781,1.88E+08
192.168.43.159,-0.037597656,0.98828125,-0.033691406,-15.07568359,-0.671386719,2.624511719,1.88E+08
192.168.43.159,-0.040039063,0.98828125,-0.025390625,-15.86914063,0.793457031,2.9296875,1.88E+08
192.168.43.159,-0.060058594,0.983398438,-0.015136719,-16.11328125,2.685546875,3.295898438,1.88E+08
192.168.43.159,-0.062011719,0.994628906,-0.012695313,-16.23535156,1.953125,3.601074219,1.88E+08
192.168.43.159,-0.042480469,0.981933594,-0.007324219,-17.578125,-0.549316406,3.601074219,1.88E+08
192.168.43.159,-0.013671875,0.979003906,0.004882813,-16.78466797,-0.48828125,4.028320313,1.88E+08
192.168.43.159,-0.02734375,0.991699219,0.01171875,-16.78466797,3.479003906,3.90625,1.88E+08
192.168.43.159,-0.043457031,0.9921875,0.021972656,-18.00537109,5.920410156,4.211425781,1.88E+08
192.168.43.159,-0.063476563,0.990234375,0.035644531,-20.69091797,5.737304688,3.967285156,1.88E+08
192.168.43.159,-0.037109375,0.981933594,0.040527344,-22.52197266,2.258300781,3.845214844,1.88E+08
192.168.43.159,-0.005859375,0.994140625,0.046386719,-22.76611328,0.793457031,3.723144531,1.88E+08
192.168.43.159,-0.002929688,0.924804688,0.052246094,-18.61572266,2.563476563,4.455566406,1.88E+08
192.168.43.159,-0.038085938,1.01953125,0.030761719,-18.18847656,5.859375,4.150390625,1.88E+08
192.168.43.159,-0.037597656,1.006347656,0.0546875,-18.67675781,6.164550781,4.39453125,1.88E+08
192.168.43.159,-0.037109375,1.016113281,0.068847656,-22.94921875,6.652832031,3.601074219,1.88E+08
192.168.43.159,-0.038574219,0.98046875,0.0859375,-30.70068359,4.516601563,1.953125,1.88E+08
192.168.43.159,-0.020996094,0.887695313,0.112304688,-26.91650391,2.197265625,3.173828125,1.88E+08
192.168.43.159,-0.030761719,0.981933594,0.125,-16.78466797,-1.525878906,4.455566406,1.88E+08
192.168.43.159,-0.027832031,1.024902344,0.112792969,-20.81298828,-2.990722656,3.540039063,1.88E+08
192.168.43.159,-0.01953125,0.998046875,0.12109375,-16.96777344,-1.647949219,4.028320313,1.88E+08
192.168.43.159,-0.016113281,0.979492188,0.122070313,-19.28710938,-3.662109375,3.601074219,1.88E+08
192.168.43.159,-0.023925781,0.953613281,0.129394531,-24.4140625,-7.507324219,2.807617188,1.88E+08
192.168.43.159,-0.013671875,0.987304688,0.116210938,-10.98632813,-5.981445313,4.760742188,1.88E+08
192.168.43.159,-0.026367188,0.908691406,0.145019531,-20.5078125,-8.239746094,3.479003906,1.88E+08
192.168.43.159,-0.01171875,1.078125,0.11328125,-10.92529297,-2.990722656,7.080078125,1.88E+08
192.168.43.159,-0.0078125,0.945800781,0.17578125,-32.77587891,-9.460449219,4.333496094,1.88E+08
192.168.43.159,0.029785156,0.980957031,0.186523438,-13.79394531,4.577636719,5.310058594,1.88E+08
192.168.43.159,-0.017089844,0.974609375,0.166503906,-10.86425781,9.155273438,4.760742188,1.88E+08
