Wearable-1,Ax,Ay,Az,Gx,Gy,Gz,Sensor time
192.168.43.70,-0.465820313,0.709960938,0.703125,-8.178710938,9.216308594,-4.577636719,2.04E+08
192.168.43.70,-0.495605469,0.709960938,0.716796875,-3.845214844,0.305175781,-1.159667969,2.04E+08
192.168.43.70,-0.5078125,0.682128906,0.697265625,-5.126953125,-7.202148438,2.746582031,2.04E+08
192.168.43.70,-0.474609375,0.687011719,0.666503906,-2.9296875,-10.86425781,1.281738281,2.04E+08
192.168.43.70,-0.479003906,0.709472656,0.658691406,-2.319335938,-7.141113281,0.854492188,2.04E+08
192.168.43.70,-0.489257813,0.703125,0.640625,-3.479003906,-4.638671875,1.037597656,2.04E+08
192.168.43.70,-0.489257813,0.723144531,0.653808594,-2.624511719,-5.432128906,0,2.04E+08
192.168.43.70,-0.493652344,0.719726563,0.655273438,-3.723144531,-4.516601563,-0.915527344,2.04E+08
192.168.43.70,-0.466308594,0.7109375,0.648925781,-3.601074219,-3.90625,-1.525878906,2.04E+08
192.168.43.70,-0.434082031,0.703125,0.686523438,-2.563476563,-0.671386719,-1.281738281,2.04E+08
192.168.43.70,-0.461914063,0.698242188,0.690429688,-1.708984375,3.540039063,-1.831054688,2.04E+08
192.168.43.70,-0.467773438,0.705566406,0.673828125,-0.48828125,1.708984375,-2.380371094,2.04E+08
192.168.43.70,-0.484863281,0.709960938,0.665527344,-0.549316406,0.549316406,-2.9296875,2.04E+08
192.168.43.70,-0.479980469,0.708496094,0.666015625,-0.793457031,-1.342773438,-2.807617188,2.04E+08
192.168.43.70,-0.4453125,0.704101563,0.691894531,-1.159667969,-1.708984375,-1.953125,2.04E+08
192.168.43.70,-0.466308594,0.708984375,0.678710938,-0.732421875,1.708984375,-1.647949219,2.04E+08
192.168.43.70,-0.5,0.711914063,0.653808594,-0.549316406,2.075195313,-1.647949219,2.04E+08
192.168.43.70,-0.466308594,0.7109375,0.670898438,-0.549316406,-0.305175781,-1.220703125,2.04E+08
192.168.43.70,-0.476074219,0.710449219,0.672851563,-0.915527344,2.136230469,-0.610351563,2.04E+08
192.168.43.70,-0.504394531,0.7109375,0.663574219,-1.281738281,2.868652344,-0.122070313,2.04E+08
192.168.43.70,-0.497070313,0.711914063,0.666015625,-1.708984375,0.48828125,0,2.04E+08
192.168.43.70,-0.46875,0.702636719,0.678222656,-2.014160156,-0.366210938,0.427246094,2.04E+08
192.168.43.70,-0.479980469,0.699707031,0.677734375,-2.563476563,0.610351563,0.427246094,2.04E+08
192.168.43.70,-0.486816406,0.701660156,0.663574219,-2.44140625,0.061035156,-0.061035156,2.04E+08
192.168.43.70,-0.477539063,0.702148438,0.670410156,-2.502441406,-0.122070313,-0.305175781,2.04E+08
192.168.43.70,-0.483886719,0.69140625,0.672363281,-3.234863281,0.48828125,-0.793457031,2.04E+08
192.168.43.70,-0.473632813,0.693847656,0.671875,-2.014160156,0.610351563,-1.281738281,2.04E+08
192.168.43.70,-0.493164063,0.701171875,0.669921875,-1.220703125,1.586914063,-1.037597656,2.04E+08
192.168.43.70,-0.514648438,0.702636719,0.665527344,-1.708984375,0.122070313,-0.854492188,2.04E+08
192.168.43.70,-0.486328125,0.700683594,0.670898438,-2.258300781,-2.258300781,-0.671386719,2.04E+08
192.168.43.70,-0.470214844,0.695800781,0.677734375,-1.953125,-0.732421875,-0.9765625,2.04E+08
192.168.43.70,-0.506347656,0.692871094,0.666992188,-2.136230469,0.854492188,-0.854492188,2.05E+08
192.168.43.70,-0.493164063,0.692382813,0.665039063,-2.319335938,-1.647949219,-0.671386719,2.05E+08
192.168.43.70,-0.480957031,0.690917969,0.670410156,-2.746582031,-1.403808594,-0.48828125,2.05E+08
192.168.43.70,-0.498535156,0.685546875,0.6640625,-2.868652344,0.183105469,-0.366210938,2.05E+08
192.168.43.70,-0.495605469,0.69140625,0.668945313,-2.380371094,-0.061035156,-0.671386719,2.05E+08
192.168.43.70,-0.501953125,0.688476563,0.666992188,-2.807617188,0.732421875,-0.549316406,2.05E+08
192.168.43.70,-0.5,0.682617188,0.666503906,-2.502441406,0.061035156,-0.671386719,2.05E+08
192.168.43.70,-0.479980469,0.684082031,0.676757813,-1.831054688,-0.793457031,-1.037597656,2.05E+08
192.168.43.70,-0.485839844,0.681640625,0.67578125,-1.647949219,0.9765625,-1.281738281,2.05E+08
192.168.43.70,-0.489257813,0.681640625,0.670898438,-0.854492188,1.708984375,-1.281738281,2.05E+08
192.168.43.70,-0.478515625,0.680175781,0.669433594,-0.427246094,2.075195313,-1.342773438,2.05E+08
192.168.43.70,-0.484375,0.677246094,0.66015625,-0.305175781,3.051757813,-1.831054688,2.05E+08
192.168.43.70,-0.492675781,0.68359375,0.659667969,-0.122070313,3.540039063,-2.9296875,2.05E+08
192.168.43.70,-0.489257813,0.677246094,0.671875,-0.366210938,4.39453125,-3.051757813,2.05E+08
192.168.43.70,-0.486816406,0.668457031,0.668457031,0.244140625,5.187988281,-3.845214844,2.05E+08
192.168.43.70,-0.492675781,0.673828125,0.661132813,1.037597656,5.432128906,-5.432128906,2.05E+08
192.168.43.70,-0.490234375,0.673828125,0.66796875,1.281738281,6.103515625,-6.34765625,2.05E+08
192.168.43.70,-0.489746094,0.674316406,0.668945313,2.136230469,7.385253906,-7.751464844,2.05E+08
192.168.43.70,-0.494140625,0.671386719,0.676757813,2.502441406,9.094238281,-8.911132813,2.05E+08
192.168.43.70,-0.505859375,0.670898438,0.671875,2.197265625,10.80322266,-10.37597656,2.05E+08
192.168.43.70,-0.517089844,0.674804688,0.637207031,1.342773438,9.521484375,-11.59667969,2.05E+08
192.168.43.70,-0.495117188,0.663574219,0.648925781,1.037597656,7.568359375,-12.57324219,2.05E+08
192.168.43.70,-0.514648438,0.641113281,0.672851563,0.793457031,9.094238281,-12.6953125,2.05E+08
192.168.43.70,-0.50390625,0.636230469,0.685058594,0.915527344,8.850097656,-13.24462891,2.05E+08
192.168.43.70,-0.477539063,0.615234375,0.685546875,2.258300781,11.71875,-16.11328125,2.05E+08
192.168.43.70,-0.484375,0.602539063,0.641601563,1.831054688,16.6015625,-12.57324219,2.05E+08
192.168.43.70,-0.497558594,0.583007813,0.596679688,1.892089844,16.96777344,-15.44189453,2.05E+08
192.168.43.70,-0.470703125,0.547363281,0.578125,0.549316406,20.87402344,-11.90185547,2.05E+08
192.168.43.70,-0.483398438,0.561035156,0.590820313,-0.122070313,27.16064453,-17.33398438,2.05E+08
