Ax,Ay,Az,Gx,Gy,Gz,Ax2,Ay2,Az2,Gx2,Gy2,Gz2,timestamp,Position
0.026855469,-1.050292969,0.161621094,-0.671386719,1.220703125,-0.610351563,-0.51953125,0.650390625,0.5703125,3.41796875,1.159667969,-0.732421875,581000000,1
0.034179688,-1.05078125,0.167480469,-0.915527344,0.854492188,-0.549316406,-0.512695313,0.651367188,0.561523438,2.990722656,1.281738281,-0.305175781,581000000,1
0.033691406,-1.051757813,0.162109375,-0.9765625,0.854492188,-0.48828125,-0.514160156,0.65234375,0.558105469,2.075195313,-0.366210938,-0.427246094,581000000,1
0.029785156,-1.049804688,0.161132813,-1.037597656,1.037597656,-0.427246094,-0.518554688,0.649902344,0.550292969,0.732421875,-3.90625,-0.549316406,581000000,1
0.026367188,-1.049316406,0.165039063,-1.159667969,0.732421875,-0.305175781,-0.505859375,0.652832031,0.553222656,-0.183105469,-4.943847656,-0.061035156,581000000,1
0.033691406,-1.053222656,0.165527344,-1.159667969,0.061035156,-0.366210938,-0.514648438,0.653320313,0.565917969,-0.793457031,-1.892089844,-0.305175781,581000000,1
0.034179688,-1.051757813,0.157714844,-1.159667969,0.427246094,-0.244140625,-0.516601563,0.654296875,0.553222656,-0.732421875,-2.136230469,-0.122070313,581000000,1
0.027832031,-1.05078125,0.157714844,-1.159667969,0.671386719,-0.061035156,-0.493652344,0.654296875,0.546386719,-0.671386719,-2.807617188,0.9765625,581000000,1
0.027832031,-1.049316406,0.160644531,-1.220703125,0,0.061035156,-0.49609375,0.650878906,0.556640625,-0.183105469,0.915527344,0.732421875,581000000,1
0.034179688,-1.054199219,0.162597656,-1.342773438,-0.427246094,0.061035156,-0.504394531,0.650878906,0.559570313,0.122070313,2.319335938,0.427246094,581000000,1
0.033691406,-1.05078125,0.159667969,-1.220703125,0,0.122070313,-0.504394531,0.650390625,0.548828125,-0.366210938,-0.061035156,1.037597656,581000000,1
0.027832031,-1.051757813,0.15625,-0.9765625,0.48828125,0.122070313,-0.509277344,0.652832031,0.538574219,-0.915527344,-1.098632813,1.220703125,581000000,1
0.028808594,-1.053222656,0.157714844,-0.915527344,0.183105469,0.061035156,-0.504394531,0.654785156,0.553222656,-0.732421875,0,1.525878906,581000000,1
0.030761719,-1.054199219,0.158691406,-0.793457031,-0.122070313,0.122070313,-0.490234375,0.645507813,0.567382813,-0.427246094,1.953125,1.708984375,581000000,1
0.031738281,-1.051757813,0.157714844,-0.793457031,0.061035156,0.122070313,-0.504394531,0.650390625,0.55859375,-0.366210938,3.41796875,0.671386719,581000000,1
0.028808594,-1.051269531,0.159667969,-0.854492188,0.122070313,0.183105469,-0.517089844,0.662109375,0.551269531,-0.793457031,1.586914063,-0.305175781,581000000,1
0.029785156,-1.052734375,0.161132813,-0.854492188,-0.183105469,0.366210938,-0.495605469,0.654785156,0.55859375,-1.892089844,-2.258300781,0.366210938,581000000,1
0.030273438,-1.053222656,0.158203125,-0.915527344,-0.48828125,0.427246094,-0.489746094,0.646484375,0.558105469,-2.197265625,-0.671386719,0.671386719,581000000,1
0.029296875,-1.05078125,0.159179688,-0.9765625,-0.305175781,0.427246094,-0.50390625,0.641113281,0.555175781,-2.136230469,2.807617188,0.061035156,581000000,1
0.028808594,-1.051269531,0.157226563,-1.037597656,-0.244140625,0.427246094,-0.496582031,0.641113281,0.5546875,-1.708984375,3.051757813,-0.183105469,581000000,1
0.030273438,-1.052246094,0.159667969,-1.037597656,-0.48828125,0.427246094,-0.484375,0.64453125,0.555175781,-1.220703125,2.685546875,-0.671386719,581000000,1
0.029296875,-1.054199219,0.157226563,-1.037597656,-0.549316406,0.48828125,-0.491210938,0.640625,0.563476563,-1.403808594,4.8828125,-1.647949219,581000000,1
0.025878906,-1.050292969,0.155761719,-0.915527344,-0.610351563,0.549316406,-0.525878906,0.634277344,0.55078125,-1.770019531,7.995605469,-2.746582031,581000000,1
0.026367188,-1.049316406,0.155761719,-0.854492188,-0.793457031,0.427246094,-0.553710938,0.645507813,0.533691406,-1.647949219,6.042480469,-3.173828125,581000000,1
0.029296875,-1.053710938,0.156738281,-0.854492188,-0.793457031,0.305175781,-0.542480469,0.637695313,0.549316406,-2.746582031,1.525878906,-0.9765625,581000000,1
0.03125,-1.056640625,0.156738281,-0.793457031,-0.48828125,0.244140625,-0.561035156,0.628417969,0.558105469,-2.9296875,2.014160156,0.671386719,581000000,1
0.02734375,-1.054199219,0.156738281,-0.671386719,-0.061035156,0.244140625,-0.560546875,0.644042969,0.547851563,-1.708984375,0.549316406,1.403808594,581000000,1
0.024414063,-1.049804688,0.157714844,-0.671386719,-0.366210938,0.244140625,-0.505859375,0.653808594,0.554199219,-0.915527344,-2.746582031,2.136230469,581000000,1
0.02734375,-1.051757813,0.158203125,-0.854492188,-0.793457031,0.305175781,-0.45703125,0.650390625,0.576660156,0.793457031,-0.427246094,1.403808594,582000000,1
0.029296875,-1.053222656,0.156738281,-0.915527344,-0.48828125,0.244140625,-0.458496094,0.63671875,0.584472656,2.9296875,7.080078125,-0.549316406,582000000,1
0.025878906,-1.049804688,0.154785156,-1.037597656,-0.122070313,0.183105469,-0.509765625,0.637695313,0.548828125,4.150390625,9.033203125,-3.295898438,582000000,1
0.025390625,-1.05078125,0.155761719,-1.098632813,-0.183105469,0.244140625,-0.549316406,0.644042969,0.530273438,2.9296875,5.432128906,-4.821777344,582000000,1
0.02734375,-1.0546875,0.157714844,-1.098632813,-0.366210938,0.244140625,-0.568359375,0.645507813,0.543945313,0.48828125,2.624511719,-4.272460938,582000000,1
0.026367188,-1.056640625,0.153320313,-0.915527344,-0.122070313,0.122070313,-0.595214844,0.640136719,0.539550781,-1.525878906,0.854492188,-2.624511719,582000000,1
0.024414063,-1.052246094,0.151855469,-0.732421875,-0.061035156,0.122070313,-0.56640625,0.647460938,0.547363281,-2.624511719,-3.173828125,0.183105469,582000000,1
0.028808594,-1.051269531,0.154785156,-0.610351563,0,-0.061035156,-0.5390625,0.653320313,0.557617188,-2.258300781,-2.9296875,2.258300781,582000000,1
0.025390625,-1.053222656,0.15625,-0.732421875,0.183105469,-0.122070313,-0.533203125,0.655761719,0.554199219,-1.098632813,-1.892089844,3.234863281,582000000,1
0.025390625,-1.049316406,0.15625,-0.793457031,-0.061035156,-0.183105469,-0.526855469,0.648925781,0.551757813,-0.549316406,-3.356933594,3.540039063,582000000,1
0.029296875,-1.051757813,0.158203125,-0.854492188,0.061035156,-0.122070313,-0.528808594,0.627929688,0.537597656,-0.610351563,-4.333496094,3.295898438,582000000,1
0.026367188,-1.053710938,0.155761719,-0.9765625,0.549316406,-0.061035156,-0.521484375,0.629882813,0.528320313,0.549316406,-3.051757813,2.685546875,582000000,1
0.024902344,-1.053222656,0.153320313,-1.037597656,0.549316406,-0.061035156,-0.516113281,0.640136719,0.540527344,1.46484375,-1.586914063,2.136230469,582000000,1
0.026855469,-1.053710938,0.149414063,-0.9765625,0.366210938,-0.061035156,-0.503417969,0.645996094,0.555664063,1.342773438,-1.892089844,2.136230469,582000000,1
0.026367188,-1.052246094,0.150390625,-0.793457031,0.305175781,-0.061035156,-0.508789063,0.639160156,0.561523438,0.732421875,-1.281738281,2.136230469,582000000,1
0.02734375,-1.0546875,0.15234375,-0.671386719,0.244140625,-0.183105469,-0.510742188,0.646972656,0.5546875,0.9765625,-1.159667969,1.647949219,582000000,1
0.025390625,-1.055175781,0.150878906,-0.610351563,0.305175781,-0.183105469,-0.509277344,0.653320313,0.549316406,1.281738281,-0.671386719,1.098632813,582000000,1
0.024902344,-1.052734375,0.153320313,-0.549316406,0.122070313,-0.244140625,-0.51953125,0.656738281,0.556640625,1.342773438,-0.305175781,0.793457031,582000000,1
0.026855469,-1.049316406,0.154296875,-0.671386719,0.061035156,-0.244140625,-0.522949219,0.65625,0.553222656,0.793457031,-2.502441406,0.915527344,582000000,1
0.026855469,-1.052734375,0.155273438,-0.793457031,0.061035156,-0.244140625,-0.500488281,0.6484375,0.544921875,0.183105469,-4.333496094,1.525878906,582000000,1
